Food Name,Description,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
"Ackee, canned, drained",8 cans,76.70,0.46,2.90,15.20,0.80,151.00,625,Tr,,0.80,0.1,0.0,Tr,0.7,0.0,0.0,,N,,,N,4.30,0.52,0.60,0.07,58.50,7.11,,N,4.90,0.60,,N,36.50,4.44,0.10,0.01,0.00,0.00,0.00,240.00,270.00,35.00,40.00,47.00,0.70,0.27,0.60,340.00,N,N,Tr,0.00,N,N,0.00,N,,0.03,0.07,0.60,0.50,1.10,0.06,0.00,41.00,N,N,30.00
"Agar, dried",Literature sources,9.70,0.26,1.30,1.20,Tr,16.00,67,0.00,,Tr,0.0,0.0,0.0,0.0,0.0,0.0,,81.1,,,0.30,,,,,,,,0.10,,,,0.40,,,,,,,0.00,110.00,110.00,760.00,620.00,50.00,20.60,N,14.40,N,4.30,N,N,0.00,0.00,0.00,0.00,Tr,,0.01,0.22,0.20,N,N,Tr,0.00,0.00,Tr,Tr,0.00
"Agar, dried, soaked and drained",Literature sources,84.20,0.03,0.20,0.10,Tr,2.00,7,0.00,,Tr,0.0,0.0,0.0,0.0,0.0,0.0,,15.0,,,Tr,,,,,,,,Tr,,,,Tr,,,,,,,0.00,10.00,20.00,110.00,75.00,8.00,3.50,N,2.50,N,0.40,N,N,0.00,0.00,0.00,0.00,Tr,,0.01,0.04,0.10,N,N,Tr,0.00,0.00,Tr,Tr,0.00
"Alfalfa sprouts, raw",Analytical and literature sources,93.40,0.64,4.00,0.70,0.40,24.00,100,Tr,,0.30,0.1,0.0,0.2,Tr,0.0,0.0,,1.7,,,N,,,,,,,,N,,,,N,,,,,,,0.00,6.00,79.00,32.00,27.00,70.00,1.00,0.16,0.90,N,0.20,N,N,0.00,96.00,16.00,0.00,N,,0.04,0.06,0.50,0.60,1.10,0.03,0.00,36.00,0.56,N,2.00
"Allspice, ground",Literature sources,8.50,0.98,6.10,8.70,N,N,N,N,,N,N,0.0,N,N,0.0,0.0,,N,,,2.50,,,,,,,,0.70,,,,2.40,,,,,,,0.00,77.00,1040.00,660.00,130.00,110.00,7.10,0.55,1.00,N,1.70,N,N,0.00,325.00,54.00,0.00,N,,0.10,0.06,2.90,N,N,N,0.00,0.00,N,N,0.00
"Almonds, flaked and ground",10 samples,4.20,4.07,21.10,55.80,6.90,612.00,2534,2.70,,4.20,Tr,,Tr,4.2,0.0,0.0,0.0,7.4,N,,4.43,19.10,10.19,0.50,0.27,71.60,38.19,,38.19,19.60,10.46,,10.46,8.30,4.43,0.00,0.00,0.00,0.00,0.00,14.00,780.00,240.00,270.00,550.00,3.00,1.00,3.20,18.00,1.70,2.00,2.00,0.00,0.00,0.00,0.00,23.96,,0.21,0.75,3.10,3.40,6.50,0.15,0.00,48.00,0.44,64.00,0.00
"Almonds, toasted",Literature sources,2.40,4.05,21.00,52.50,5.90,579.00,2394.00,0.80,,5.10,Tr,Tr,Tr,5.00,0.10,0.00,0.00,N,10.90,,4.09,,,,,,,,33.08,,,,12.96,,,,,,0.01,0.00,3.00,713.00,268.00,279.00,471.00,3.73,1.10,3.30,18.00,2.23,2.00,2.00,0.00,1.00,Tr,0.00,23.90,0.00,0.08,1.20,3.60,3.50,7.10,0.14,0.00,55.00,0.32,49.00,0.00
"Almonds, weighed with shells",Calculated from 14-896,1.60,1.51,7.80,18.50,1.90,205.00,847.00,0.30,,1.60,0.10,Tr,Tr,1.50,Tr,0.00,0.00,N,4.60,,1.41,,,,,,,,11.67,,,,4.56,,,,,,0.01,0.00,Tr,271.00,100.00,100.00,178.00,1.37,0.38,1.20,7.00,0.81,2.00,1.00,0.00,Tr,Tr,0.00,9.48,0.00,0.08,0.42,1.30,1.30,2.60,0.05,0.00,16.00,0.17,23.70,0.00
"Almonds, whole kernels","Literature sources, Prunus dulcis",4.40,4.09,21.20,49.90,5.30,554.00,2292.00,0.80,,4.50,0.20,0.10,0.10,4.10,Tr,0.00,0.00,N,12.50,,3.80,,,,,,,,31.55,,,,12.33,,,,,,0.02,0.00,1.00,733.00,269.00,270.00,481.00,3.71,1.03,3.10,18.00,2.18,4.00,2.00,0.00,1.00,Tr,0.00,25.63,0.00,0.21,1.14,3.60,3.40,7.00,0.14,0.00,44.00,0.47,64.00,0.00
"Amaranth leaves, boiled in unsalted water",Calculation from raw,90.40,0.48,3.00,0.30,0.30,16.00,67,0.10,,0.20,Tr,0.0,0.2,Tr,0.0,0.0,,N,,,0.10,,,,,,,,0.10,,,,0.10,,,,,,,0.00,11.00,540.00,220.00,110.00,54.00,2.40,0.11,0.50,12.00,0.90,N,N,0.00,1490.00,245.00,0.00,N,,0.03,0.16,0.70,0.80,1.50,N,0.00,51.00,N,N,31.00
