name,category,usda_id,source,energy,protein,fat,sat_fat,carbohydrate,total_sugar,starch,fibre,sodium,potassium,calcium,magnesium,phosphorus,iron,copper,zinc,manganese,selenium,iodine,vit_a,vit_c,vit_d,vit_e,vit_k,vit_b1,vit_b2,vit_b3,vit_b6,vit_b12,vit_b9,vit_b7
"Milk, NFS","Milk, reduced fat",2705384,survey.json,52,3.33,2.14,1.25,4.83,4.88,,0,0.039,0.156,0.125,0.012,0.103,0,0.000001,0.00043,0,0.0000019,0,0.000057,0.0001,0.0000011,0.00003,0.0000002,0.000057,0.000137,0.00011,0.000061,0.00000056,0.000001,0
"Milk, whole","Milk, whole",2705385,survey.json,61,3.27,3.2,1.86,4.63,4.81,,0,0.038,0.15,0.123,0.012,0.101,0,0.000001,0.00042,0,0.0000019,0,0.000031,0,0.0000011,0.00005,0.0000003,0.000056,0.000138,0.000105,0.000061,0.00000054,0,0
"Milk, reduced fat (2%)","Milk, reduced fat",2705386,survey.json,50,3.36,1.9,1.11,4.9,4.89,,0,0.039,0.159,0.126,0.012,0.103,0,0.000001,0.00043,0,0.0000018,0,0.000083,0.0002,0.0000011,0.00003,0.0000002,0.000059,0.000137,0.000112,0.000061,0.00000055,0.000002,0
"Milk, low fat (1%)","Milk, lowfat",2705387,survey.json,43,3.38,0.95,0.568,5.18,4.96,,0,0.039,0.159,0.126,0.012,0.103,0,0.000001,0.00043,0,0.0000021,0,0.000058,0,0.0000011,0.00002,0.0000001,0.000057,0.00014,0.000113,0.00006,0.00000061,0.000002,0
"Milk, fat free (skim)","Milk, nonfat",2705388,survey.json,34,3.43,0.08,0.049,4.92,5.05,,0,0.041,0.167,0.132,0.012,0.107,0,0.000002,0.00045,0,0.000002,0,0.000064,0,0.0000011,0,0,0.000056,0.000131,0.000118,0.000058,0.00000058,0.000002,0
"Milk, lactose free, low fat (1%)","Milk, lowfat",2705389,survey.json,43,3.38,0.95,0.568,5.18,4.96,,0,0.039,0.159,0.126,0.012,0.103,0,0.000001,0.00043,0,0.0000021,0,0.000058,0,0.0000011,0.00002,0.0000001,0.000057,0.00014,0.000113,0.00006,0.00000061,0.000002,0
"Milk, lactose free, fat free (skim)","Milk, nonfat",2705390,survey.json,34,3.43,0.08,0.049,4.92,5.05,,0,0.041,0.167,0.132,0.012,0.107,0,0.000002,0.00045,0,0.000002,0,0.000064,0,0.0000011,0,0,0.000056,0.000131,0.000118,0.000058,0.00000058,0.000002,0
"Milk, lactose free, reduced fat (2%)","Milk, reduced fat",2705391,survey.json,50,3.36,1.9,1.11,4.9,4.89,,0,0.039,0.159,0.126,0.012,0.103,0,0.000001,0.00043,0,0.0000018,0,0.000083,0.0002,0.0000011,0.00003,0.0000002,0.000059,0.000137,0.000112,0.000061,0.00000055,0.000002,0
"Milk, lactose free, whole","Milk, whole",2705392,survey.json,61,3.27,3.2,1.86,4.63,4.81,,0,0.038,0.15,0.123,0.012,0.101,0,0.000001,0.00042,0,0.0000019,0,0.000031,0,0.0000011,0.00005,0.0000003,0.000056,0.000138,0.000105,0.000061,0.00000054,0,0
Buttermilk,"Milk, whole",2705393,survey.json,43,3.46,1.08,0.552,4.81,5.36,,0,0.092,0.158,0.12,0.011,0.092,0.00001,0.000001,0.00043,0,0.000002,0,0.000036,0.001,0.0000005,0.00005,0.0000001,0.000048,0.000196,0.000128,0.000039,0.00000022,0.000005,0
Kefir,"Milk, lowfat",2705394,survey.json,52,3.59,0.96,0.596,7.48,6.91,,0,0.038,0.159,0.124,0.012,0.1,0.00004,0.000009,0.00045,0,0.0000036,0,0.000174,0.0008,0.000001,0.00004,0.0000006,0.00003,0.000172,0.000128,0.000059,0.0000003,0.000018,0
Goat milk,"Milk, whole",2705395,survey.json,69,3.56,4.14,2.67,4.45,4.45,,0,0.05,0.204,0.134,0.014,0.111,0.00005,0.000046,0.0003,0,0.0000014,0,0.000056,0.0013,0.0000013,0.00007,0.0000003,0.000048,0.000138,0.000277,0.000046,0.00000007,0.000001,0
"Milk, dry, reconstituted, nonfat","Milk, nonfat",2705396,survey.json,32,3.2,0.07,0.044,4.6,4.6,,0,0.051,0.159,0.114,0.011,0.086,0.00003,0.000013,0.00037,0,0.0000024,0,0.000058,0.0006,0.000001,0,0,0.000037,0.000137,0.000084,0.000032,0.00000036,0.000004,0
"Milk, dry, reconstituted, whole","Milk, whole",2705397,survey.json,76,4.01,4.08,2.55,5.86,5.86,,0,0.06,0.203,0.142,0.014,0.118,0.00007,0.000021,0.00052,0,0.0000025,0,0.000039,0.0013,0.0000016,0.00009,0.0000003,0.000043,0.000184,0.000099,0.000046,0.0000005,0.000006,0
"Milk, evaporated, NS as to fat content","Milk, whole",2705398,survey.json,134,6.81,7.56,4.59,10,10,,0,0.106,0.303,0.261,0.024,0.203,0.00019,0.000016,0.00077,0,0.0000023,0,0.000064,0.0019,0.000002,0.00014,0.0000005,0.000047,0.000316,0.000194,0.00005,0.00000016,0.000008,0
"Milk, evaporated, whole","Milk, whole",2705399,survey.json,134,6.81,7.56,4.59,10,10,,0,0.106,0.303,0.261,0.024,0.203,0.00019,0.000016,0.00077,0,0.0000023,0,0.000064,0.0019,0.000002,0.00014,0.0000005,0.000047,0.000316,0.000194,0.00005,0.00000016,0.000008,0
"Milk, evaporated, reduced fat (2%)","Milk, reduced fat",2705400,survey.json,92,7.42,1.96,1.21,11.2,11.2,,0,0.113,0.326,0.285,0.027,0.192,0.00028,0.000016,0.00088,0,0.0000025,0,0.00013,0.0012,0.000002,0.00005,0.0000002,0.000044,0.000304,0.000171,0.000054,0.00000024,0.000009,0
"Milk, evaporated, fat free (skim)","Milk, nonfat",2705401,survey.json,78,7.55,0.2,0.121,11.4,11.4,,0,0.115,0.332,0.29,0.027,0.195,0.00029,0.000016,0.0009,0,0.0000025,0,0.000118,0.0012,0.000002,0,0,0.000045,0.000309,0.000174,0.000055,0.00000024,0.000009,0
"Milk, condensed, sweetened","Flavored milk, whole",2705402,survey.json,321,7.91,8.7,5.49,54.4,54.4,,0,0.127,0.371,0.284,0.026,0.253,0.00019,0.000015,0.00094,0,0.0000148,0,0.000073,0.0026,0.0000002,0.00016,0.0000006,0.00009,0.000416,0.00021,0.000051,0.00000044,0.000011,0
"Non-dairy milk, NFS",Plant-based milk,2705403,survey.json,31,1.14,1.6,0.159,3.04,2.03,,0.1,0.051,0.052,0.153,0.01,0.035,0.00032,0.000039,0.0002,0,0.0000007,0,0.000035,0,0.000001,0.00207,0.0000009,0.000017,0.000038,0.0001,0.000012,0.00000038,0.000004,0
"Soy milk, sweetened",Plant-based milk,2705404,survey.json,53,3.41,2.05,0.301,5.22,4.53,,0,0.033,0.152,0.097,0.021,0.066,0.00052,0.000104,0.0003,0,0.0000018,0,0.000056,0,0.0000007,0.00015,0.0000029,0.00006,0.000081,0.000227,0.000053,0.00000037,0.000019,0
"Soy milk, unsweetened",Plant-based milk,2705405,survey.json,38,3.55,2.12,0.314,1.29,0.56,,0,0.034,0.158,0.101,0.022,0.069,0.00054,0.000108,0.00031,0,0.0000019,0,0.000058,0,0.0000007,0.00016,0.000003,0.000063,0.000084,0.000236,0.000055,0.00000039,0.00002,0
"Soy milk, chocolate",Plant-based milk,2705406,survey.json,64,3.35,2.03,0.315,8.32,7.49,,0.1,0.032,0.151,0.094,0.022,0.066,0.00055,0.000112,0.00031,0,0.0000018,0,0.000054,0,0.0000006,0.00015,0.0000028,0.000059,0.00008,0.000225,0.000051,0.00000036,0.000019,0
"Almond milk, sweetened",Plant-based milk,2705407,survey.json,30,0.53,1.18,0.1,4.31,3.99,,0,0.058,0.03,0.166,0.007,0.029,0.00028,0.00002,0.00016,0,0,0,0.000039,0,0.0000009,0.00319,0,0,0.000032,0.000071,0,0.00000033,0,0
"Almond milk, chocolate",Plant-based milk,2705408,survey.json,43,0.57,1.2,0.121,7.44,6.97,,0.1,0.056,0.033,0.161,0.008,0.03,0.00031,0.000031,0.00018,0,0.0000001,0,0.000038,0,0.0000008,0.00308,0,0,0.000033,0.000075,0,0.00000032,0,0
"Almond milk, unsweetened",Plant-based milk,2705409,survey.json,15,0.55,1.22,0.104,0.34,0,,0,0.06,0.031,0.173,0.007,0.03,0.00029,0.000021,0.00017,0,0,0,0.000041,0,0.0000009,0.00332,0,0,0.000033,0.000074,0,0.00000034,0,0
"Almond milk, NFS",Plant-based milk,2705410,survey.json,20,0.54,1.21,0.103,1.53,1.2,,0,0.059,0.031,0.171,0.007,0.03,0.00029,0.000021,0.00017,0,0,0,0.000041,0,0.0000009,0.00328,0,0,0.000033,0.000073,0,0.00000034,0,0
Rice milk,Plant-based milk,2705411,survey.json,47,0.28,0.97,0,9.17,5.28,,0.3,0.039,0.027,0.118,0.011,0.056,0.0002,0.000037,0.00013,0,0.0000022,0,0.000063,0,0.000001,0.00047,0.0000002,0.000027,0.000142,0.00039,0.000039,0.00000063,0.000002,0
